,Channel,B,T,Isotope,G,sigma
279,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031880,0.001,T,2.12331668235914E-16,0.0116945819861536
280,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683800,0.001,H,4.58080251811559E-19,2.52296659540022E-05
281,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683800,0.001,T,8.63072120961825E-17,0.00475353853827269
282,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127800,0.001,H,2.24132348441184E-19,1.23445275326632E-05
283,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127800,0.001,T,3.28841935764997E-17,0.00181116128848779
284,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579610,0.001,H,1.02218411059101E-19,5.62987894625699E-06
285,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579610,0.001,T,1.34299984012845E-17,0.000739683433387952
286,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,H,4.27269105164376E-20,2.35326817803907E-06
287,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,T,5.30905428018257E-18,0.000292406549924299
288,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,H,1.5395187491203E-16,0.00847920066770456
289,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,T,4.36880049475636E-15,0.240620233390295
290,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0014677992676220700,0.001,H,1.55721267225479E-16,0.00857665341061012
291,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0014677992676220700,0.001,T,4.42529817886247E-15,0.243731953861839
292,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0021544346900318800,0.001,H,1.58296527144241E-16,0.00871849088829697
293,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0021544346900318800,0.001,T,4.51119241194545E-15,0.248462746773100
294,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0031622776601683800,0.001,H,1.62054789136499E-16,0.00892548451934155
295,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0031622776601683800,0.001,T,4.637213692016E-15,0.255403615292758
296,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.004641588833612780,0.001,H,1.6757847320947E-16,0.00922971222495723
297,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.004641588833612780,0.001,T,4.82968574451545E-15,0.266004390093327
298,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.006812920690579610,0.001,H,1.75914896646773E-16,0.00968885705327610
299,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.006812920690579610,0.001,T,5.1235253967168E-15,0.282188183740318
300,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01,0.001,H,1.88865071965864E-16,0.0104021132917939
301,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01,0.001,T,5.56584733191361E-15,0.306549929580727
302,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01467799267622070,0.001,H,2.07346949233387E-16,0.0114200388361029
303,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01467799267622070,0.001,T,6.25652958084561E-15,0.344590605536523
304,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318800,0.001,H,2.34866231601338E-16,0.0129357171450707
305,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318800,0.001,T,7.33110360780352E-15,0.403774872126885
306,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168380,0.001,H,2.72850339291676E-16,0.0150277661797064
307,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168380,0.001,T,9.01815297181761E-15,0.496692416015017
