,Channel,B,T,Isotope,G,sigma
83,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.46415888336127775,0.001,T,1.38665088920270e-15,0.132281068064419
84,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.6812920690579608,0.001,H,4.76712341309833e-18,0.000262558647307614
85,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.6812920690579608,0.001,T,9.58771560671590e-16,0.0914630546614014
86,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.0,0.001,H,2.55934126125225e-18,0.000140960726484782
87,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.0,0.001,T,6.40615529839922e-16,0.0611122144482979
88,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.467799267622069,0.001,H,1.35735719802556e-18,7.47591029104942e-5
89,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.467799267622069,0.001,T,3.85724619482237e-16,0.0367966191354694
90,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031882,0.001,H,7.05336134548650e-19,3.88477673717096e-5
91,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031882,0.001,T,1.85999819477448e-16,0.0177436548534670
92,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683795,0.001,H,3.53870512335566e-19,1.94901106997965e-5
93,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683795,0.001,T,6.70478073645400e-17,0.00639609842579653
94,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127775,0.001,H,1.67125778362330e-19,9.20477917070033e-6
95,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127775,0.001,T,1.92836530557689e-17,0.00183958503345244
96,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579608,0.001,H,7.13275860019683e-20,3.92850632835252e-6
97,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579608,0.001,T,4.89514469641986e-18,0.000466977646511022
98,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,H,2.62924069582979e-20,1.44810574579718e-6
99,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,T,1.17108075452598e-18,0.000111716520866657
100,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,H,1.28404457713831e-16,0.00707212669027575
101,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,T,4.05674855652448e-15,0.386997935893151
102,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0014677992676220691,0.001,H,1.29876920112773e-16,0.00715322543729271
103,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0014677992676220691,0.001,T,4.10928587666153e-15,0.392009790625359
104,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0021544346900318843,0.001,H,1.32025231532556e-16,0.00727154789121199
105,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0021544346900318843,0.001,T,4.18937020770280e-15,0.399649522390471
106,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0031622776601683794,0.001,H,1.35174387815859e-16,0.00744499383381802
107,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0031622776601683794,0.001,T,4.30669749746898e-15,0.410842086664740
108,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.004641588833612777,0.001,H,1.39799065276549e-16,0.00769970699164745
109,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.004641588833612777,0.001,T,4.48561104736439e-15,0.427909739132745
110,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.006812920690579608,0.001,H,1.46711006483942e-16,0.00808039567461641
111,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.006812920690579608,0.001,T,4.75846389317436e-15,0.453938832792298
112,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01,0.001,H,1.57302134759390e-16,0.00866372278249503
