,Channel,B,T,Isotope,G,sigma
102,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0014677992676220691,0.001,H,1.55721267225479e-16,0.00857665341061012
103,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0014677992676220691,0.001,T,4.42529817886247e-15,0.422156127516738
104,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0021544346900318843,0.001,H,1.58296527144241e-16,0.00871849088829697
105,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0021544346900318843,0.001,T,4.51119241194545e-15,0.430350101199129
106,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0031622776601683794,0.001,H,1.62054789136499e-16,0.00892548451934155
107,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.0031622776601683794,0.001,T,4.63721369201600e-15,0.442372038123832
108,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.004641588833612777,0.001,H,1.67578473209470e-16,0.00922971222495723
109,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.004641588833612777,0.001,T,4.82968574451545e-15,0.460733118678013
110,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.006812920690579608,0.001,H,1.75914896646773e-16,0.00968885705327610
111,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.006812920690579608,0.001,T,5.12352539671680e-15,0.488764271533813
112,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01,0.001,H,1.88865071965864e-16,0.0104021132917939
113,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01,0.001,T,5.56584733191361e-15,0.530960053090480
114,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01467799267622069,0.001,H,2.07346949233387e-16,0.0114200388361029
115,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01467799267622069,0.001,T,6.25652958084561e-15,0.596848436600184
116,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318832,0.001,H,2.34866231601338e-16,0.0129357171450707
117,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318832,0.001,T,7.33110360780352e-15,0.699358593343391
118,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168379,0.001,H,2.72850339291676e-16,0.0150277661797064
119,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168379,0.001,T,9.01815297181761e-15,0.860296500272147
120,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127774,0.001,H,3.23076025252913e-16,0.0177940440842905
121,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127774,0.001,T,1.16427698841793e-14,1.11067468207014
122,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579612,0.001,H,3.85050429813100e-16,0.0212074056482702
123,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579612,0.001,T,1.56647051083733e-14,1.49435156230363
124,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,H,4.57980730961349e-16,0.0252241846484966
125,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,T,2.18101949663767e-14,2.08060724390722
126,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622069,0.001,H,5.43151701983378e-16,0.0299151424869231
127,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622069,0.001,T,3.12286847099027e-14,2.97909430545142
128,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318823,0.001,H,6.42381537631898e-16,0.0353804197962636
129,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318823,0.001,T,4.58049236884961e-14,4.36961045877045
130,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683794,0.001,H,7.58292752064937e-16,0.0417644566738701
131,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683794,0.001,T,6.84864250224297e-14,6.53333692021771
132,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.46415888336127775,0.001,H,8.93503475087018e-16,0.0492114517402489
133,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.46415888336127775,0.001,T,1.03582206161641e-13,9.88133709084419
134,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.6812920690579608,0.001,H,1.04896661618038e-15,0.0577738883491924
